ASV	Phylum	Class	Order	Family	Genus	Species	Confidence	1003_Wk1	1003_Wk2	1003_Wk3	1003_Wk4	1003_Wk5	1003_Wk6	1003_Wk7	1003_Wk8	1003_Wk9	1004_Wk1	1004_Wk2	1004_Wk3	1004_Wk4	1004_Wk5	1004_Wk6	1004_Wk7	1004_Wk8	1004_Wk9	1005_Wk1	1005_Wk2	1005_Wk3	1005_Wk4	1005_Wk5	1005_Wk6	1005_Wk7	1005_Wk8	1005_Wk9	PCR_NEG	Wk1_Blank	Wk1_Control	Wk2_Control	Wk3_Blank	Wk3_Control	Wk4_1003Parallel	Wk4_1004Parallel	Wk4_1005Parallel	Wk4_Blank	Wk5_1003Parallel	Wk5_1004Parallel	Wk5_1005Parallel	Wk5_FieldBlank	Wk6_1003Parallel	Wk6_1004Parallel	Wk6_1005Parallel	Wk6_FieldBlank	Wk7_1003Parallel	Wk7_1004Parallel	Wk7_1005Parallel	Wk7_FieldBlank	Wk8_1003Parallel	Wk8_1004Parallel	Wk8_1005Parallel	Wk8_FieldBlank	Wk9_1003Parallel	Wk9_1004Parallel	Wk9_FieldBlank	XN_1	XN_2	XN_3
2e413b44919a35e86a58198f03c37aa2	 p__Chordata	 Actinopteri	 Atheriniformes	 Atherinopsidae	 Menidia	beryllina	0.949568332448212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
f64255a6fb7a61e5b532d08061b29b95	 p__Chordata	 Actinopteri	 Perciformes	 Cottidae	 Cottus	beldingii	0.891723437757355	42	0	9	10	0	0	0	0	0	0	10	0	0	21	0	0	12	774	416	629	12	185	160	127	0	668	736	0	0	0	0	0	0	0	0	0	5	0	6	0	137	248	205	165	105	193	16	385	175	288	215	112	0	318	0	175	793	0	0
56f2890a62178fec4f57e9f56ffe0282	 p__Chordata	 Mammalia	 Artiodactyla	 Suidae	 Sus		0.999966981414674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6825	0	0	0	0
b33507582222c1d4c2be9a1ca830ad8a	 p__Chordata	 Actinopteri	 Perciformes	 Cottidae	 Cottus	beldingii	0.79702145267554	0	13	0	0	0	0	0	0	0	18	0	0	0	0	0	19	0	0	0	0	0	561	345	298	0	66	0	54	16	20	0	690	384	623	7	6	0	0	0	16	0	0	0	471	193	287	0	364	463	308	505	401	0	551	0	0	0	0	0
9920e720cdc992c406e02aa639061ce6	 p__Chordata	 Actinopteri	 Perciformes	 Pholidae	 Pholis		0.997858710974215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1662a6be7a9ee6dde3335b77f37c6fef	 p__Chordata	 Actinopteri	 Labriformes	 Labridae	 Tautogolabrus	adspersus	0.982810632230536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6360	0	0	0	0	0	0	0	0	0
f7e3adbeff07c41ffad9206ea68e8840	 p__Chordata	 Actinopteri	 Clupeiformes	 Clupeidae	 Clupea	pallasii	0.999999999792067	0	0	106	121	9	71	281	374	0	131	119	117	0	378	87	122	0	0	0	0	10	13	20	67	4	13	0	63	165	403	363	7	0	0	5	0	263	201	167	0	344	762	610	267	50	49	0	24	69	77	5	4	0	11	67	0	10	0	95
5f88b891f3197090cf6e8a73ae8ecfe1	 p__Chordata	 Actinopteri	 Scombriformes	 Scombridae	 Rastrelliger		0.99768784529629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dccffc965de9f985fb5aae9257b79696	 p__Chordata	 Actinopteri	 Labriformes	 Labridae	 Tautogolabrus	adspersus	0.991668788923159	0	0	0	0	0	0	0	0	0	0	0	0	5238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c2768893efdd51ffd3d8031ffb9e10c7	 p__Chordata	 Actinopteri	 Scombriformes	 Scombridae	 Rastrelliger		0.998322495742247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
